"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"4517019148","","","","","2009-10-01 04:17:17 +0000","<a href=""http://83degrees.com/to/powertwitter"" rel=""nofollow"">Power Twitter</a>","So that's where @robwall has been http://bit.ly/cgkCS"
"4513832175","","","","","2009-10-01 01:56:53 +0000","<a href=""http://audioboo.fm/"" rel=""nofollow"">Audioboo</a>","AudioBoo: David jakes talking to my students.  http://boo.fm/b67042"
"4513585927","4513480856","9007152","","","2009-10-01 01:46:35 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@cpbw I am, i'm at a Career Ed conference tomorrow and Friday."
"4513557953","","","","","2009-10-01 01:45:28 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>",".@djakes  is now doing comedy, no one is laughing"
"4513463117","4513448835","9007152","","","2009-10-01 01:41:32 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@cpbw yep"
"4513431640","","","","","2009-10-01 01:40:16 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Can someone bring a Pizza to the Holiday Inn Express on Idlywyld?  I'm starved and @djakes  is still going."
"4512995818","","","","","2009-10-01 01:22:26 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>",".@djakes  just threw me under the bus with a share(ski) reference"
"4512694939","","","","","2009-10-01 01:10:10 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>",".@djakes just made his first CND conversion joke"
"4512640811","","","","","2009-10-01 01:07:56 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>",".@ryanbretag please feel free to join in the fun."
"4512597699","","","","","2009-10-01 01:06:10 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Great. @djakes  is now talking to my students, I can now spend the next hour throwing him under the bus."
"4510780813","","","","","2009-09-30 23:48:39 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Elluminate 9 is giving me grief again. I can't load images easily at all, screen keeps flashing and I can't select all"
"4509219720","4509158685","8372582","","","2009-09-30 22:40:02 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","@jaymiek congrats."
"4509209605","4508402028","6581222","","","2009-09-30 22:39:34 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","@djakes at the McDonalds drive through feeding my boy. I'll be online in 30 minutes  http://twitpic.com/jrkku"
"4509175821","4508991701","16821485","","","2009-09-30 22:38:01 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","@dcannell thanks. I'll see how it goes. At the Career Ed conference."
"4508950082","","","","","2009-09-30 22:28:00 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","Picking up my son at the U of Saskatchewan. Then off to my hotel room to teach. @djakes in the house tonight.  http://twitpic.com/jrivj"
"4505061948","4504380335","7110832","","","2009-09-30 19:32:26 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","@timstahmer blocking my site might be for the best.  ;)"
"4504993460","","","","","2009-09-30 19:29:21 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","Enjoying my drive to Saskatoon and catching up on @sparkcbc podcasts. Easily my favorite podcast.I learn and It always makes me think."
"4504724517","4503805405","5388852","","","2009-09-30 19:17:20 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","@hrheingold I might do that."
"4503789758","4503640834","5388852","","","2009-09-30 18:35:43 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","@hrheingold I still have 27. I win."
